sample_plot_id,date
43-410141-N-00659,2018-03-09
43-410141-N-00659,2018-03-22
43-410141-N-00659,2018-03-27
43-410141-N-00659,2018-04-16
43-410141-N-00659,2018-04-18
43-410141-N-00659,2018-04-28
43-410141-N-00659,2018-05-08
43-410141-N-00659,2018-07-17
43-410141-N-00659,2018-08-19
43-410141-N-00659,2018-10-05
43-410141-N-00659,2018-10-28
43-410141-N-00659,2018-10-30
43-410141-N-00659,2018-11-04
43-410141-N-00659,2018-11-27
43-410141-N-00659,2018-11-29
43-410141-N-00659,2019-02-25
43-410141-N-00659,2019-03-12
43-410141-N-00659,2019-04-06
43-410141-N-00659,2019-04-08
43-410141-N-00659,2019-05-11
43-410141-N-00659,2019-05-23
43-410141-N-00659,2019-06-02
43-410141-N-00659,2019-07-25
43-410141-N-00659,2019-08-11
43-410141-N-00659,2019-08-14
43-410141-N-00659,2019-08-16
43-410141-N-00659,2019-08-19
43-410141-N-00659,2019-09-05
43-410141-N-00659,2019-09-08
43-410141-N-00659,2019-09-10
43-410141-N-00659,2019-09-13
43-410141-N-00659,2019-09-20
43-410141-N-00659,2019-11-09
43-410141-N-00659,2019-11-14
43-410141-N-00659,2019-11-22
43-410141-N-00659,2019-12-07
43-410141-N-00659,2019-12-09
43-410141-N-00659,2019-12-12
43-410141-N-00659,2020-01-28
43-410141-N-00659,2020-02-17
43-410141-N-00659,2020-03-18
43-410141-N-00659,2020-04-12
43-410141-N-00659,2020-04-15
43-410141-N-00659,2020-04-27
43-410141-N-00659,2020-05-12
43-410141-N-00659,2020-08-28
43-410141-N-00659,2020-08-30
43-410141-N-00659,2020-10-22
43-410141-N-00659,2020-10-24
43-410141-N-00659,2020-11-08
43-410141-N-00659,2020-11-11
43-410141-N-00659,2020-11-13
43-410141-N-00659,2020-12-21
43-410141-N-00659,2021-01-12
43-410141-N-00659,2021-01-15
43-410141-N-00659,2021-02-14
43-410141-N-00659,2021-02-19
43-410141-N-00659,2021-03-28
43-410141-N-00659,2021-04-30
43-410141-N-00659,2021-06-06
43-410141-N-00659,2021-06-24
43-410141-N-00659,2021-07-26
43-410141-N-00659,2021-09-12
43-410141-N-00659,2021-09-14
43-410141-N-00659,2021-09-22
