sample_plot_id,longitude,latitude,起源,郁闭度,林分密度（株每公顷）,平均树高（米）,平均胸径（厘米）,龄组,tree_species_composition,tip1,tip2
43-422262-Y-02990,113.19305903762158,27.854682444496312,人工,0.4,1545,7.9,10,中龄林,8阔 2杉,阔叶林,其他难燃阔叶林
43-412262-N-00639,113.255139,27.940703,天然,0.6,2715,9.2,12.2,中龄林,9阔 1杉,阔叶林,其他难燃阔叶林
43-421244-N-03099,113.243072,27.836761,人工,0.6,1605,9,9.3,幼龄林,7樟木 3杉木 ,阔叶林,樟木林
43-411162-Y-02991,113.2741002220325,27.850919316413957,天然,0.75,2160,6.3,8.2,幼龄林,6山矾2马尾松1杜英1其它,阔叶林,其他难燃阔叶林
43-432263-Y-03046,113.31445276512986,27.813808005340498,人天混,0.4,435,12.9,19.9,中龄林,5马尾松 3枫香 2樟木,针阔混交林,针叶针阔混交林
43-431263-Y-03100,113.27328076771147,27.77847520606558,人天混,0.55,885,8.5,10.3,幼龄林,5樟木 3马尾松  1其它硬阔类1青冈,针阔混交林,阔叶针阔混交林
43-421362-N-00653,113.13228826861204,27.90642040418179,人工,0.28,390,8.3,12,幼龄林,6樟木 2枫香 2其它硬阔类 ,阔叶林,樟木林
43-412262-Y-03097,113.029295,27.782193,天然,0.5,1005,11.1,13.7,中龄林,5樟木2冬青1山矾1杜英1其他硬阔,阔叶林,樟木林
43-422263-Y-03358,113.06687820710785,27.600926041861882,人工,0.6,1500,12.8,13.1,中龄林,6杉木3油茶1其他硬阔,针阔混交林,针叶针阔混交林
43-424131-Y-03622,113.02300495343673,27.421568930731212,人工,0.72,2685,12.8,12.2,成、过熟林,7杉木 2樟木 1马尾松,针叶林,杉木林
43-422131-Y-03678,113.06269801051675,27.384740112314873,人工,0.72,3225,8.2,11.1,中龄林,10杉木,针叶林,杉木林
43-422231-Y-03679,113.14357811610445,27.38332219471168,人工,0.4,615,11.9,14.3,中龄林,7杉木 1栎类 1樟木 1其它硬阔类 ,针叶林,杉木林
43-422231-Y-03734,113.10273344490788,27.348166319172133,人工,0.6,1875,14.3,15.8,中龄林,9杉木1其它硬阔,针叶林,杉木林
43-422231-Y-03206,113.27080646082874,27.70615686791846,人工,0.62,2400,9.2,10.4,中龄林,10杉木,针叶林,杉木林
43-412266-Y-03625,113.26544167268922,27.417676609883568,天然,0.55,2505,12.8,9.1,壮龄竹,10毛竹 ,竹、灌,竹、灌
43-412266-Y-03735,113.18373065861081,27.34694996938832,天然,0.68,3255,12.8,8.8,壮龄竹,9毛竹 1杉木,竹、灌,竹、灌
43-422231-Y-03853,113.18217551616111,27.274735214873953,人工,0.48,945,12,15.3,中龄林,8杉木 2马尾松,针叶林,杉木林
43-422231-Y-03153,113.2299041,27.74065335,人工,0.6,1995,9.4,11.8,中龄林,8杉木1湿地松1其它硬阔,针叶林,杉木林
43-411262-N-00745,113.04366869120118,27.510849194388914,天然,0.63,2265,10.8,10.9,幼龄林,6栎类 2枫香 1杉木 1其它硬阔类,阔叶林,栎类林
43-411262-Y-03410,113.10641507388792,27.564388335397023,天然,0.65,2265,7.2,8.6,幼龄林,6栎类 3冬青1杉木,阔叶林,栎类林
43-412166-N-00798,113.16152419843147,27.328652740961957,天然,0.75,3630,15.2,10.7,壮龄竹,8竹 1杉1其他,竹、灌,竹、灌
43-411244-N-00709,113.24962842599489,27.68807400696716,天然,0.5,945,11.8,15.3,幼龄林,7樟木 2其它硬阔1木荷,阔叶林,樟木林
43-412266-Y-03569,113.22608189410356,27.45404135904952,天然,0.55,3675,7.2,5.8,壮龄竹,10毛竹 ,竹、灌,竹、灌
